login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
PaulBone,PaulBone/fouineur,2024-10-30T04:30:27Z,0,0,,True,False,Mozilla Public License 2.0
djmdjm,djmdjm/eurorack-pmod,2024-10-30T04:04:33Z,0,0,,True,True,Other
davidwengier,davidwengier/Connections,2024-10-29T11:00:48Z,0,0,CSS,True,True,MIT License
binarythistle,binarythistle/CommadAPI8-No-Actions,2024-10-29T09:24:14Z,0,0,C#,True,True,
sammcj,sammcj/ChainForge,2024-10-29T06:49:54Z,0,0,TypeScript,True,False,MIT License
sammcj,sammcj/cline,2024-10-28T03:34:53Z,0,0,TypeScript,True,True,Apache License 2.0
binarythistle,binarythistle/mp-order-creator,2024-10-28T01:20:44Z,0,0,C#,True,True,
mdneuzerling,mdneuzerling/AUHouseHuntr,2024-10-27T21:34:37Z,0,0,R,True,True,Other
TrustAGI-Lab,TrustAGI-Lab/SIGNET,2024-10-27T10:53:55Z,0,0,,True,True,MIT License
sammcj,sammcj/bedrock-openai-api,2024-10-25T22:24:17Z,1,1,Python,False,False,Apache License 2.0
mitchdenny,mitchdenny/ai-chat-aspire-meai-csharp,2024-10-24T22:12:34Z,0,0,,True,True,MIT License
tqwewe,tqwewe/chat-gpt-lib-rs,2024-10-23T16:16:07Z,0,0,,True,False,Apache License 2.0
minghao-wu,minghao-wu/mixture_of_skills,2024-10-23T09:06:33Z,1,1,Python,True,False,
jni,jni/app-model,2024-10-23T08:24:30Z,0,0,,True,False,"BSD 3-Clause ""New"" or ""Revised"" License"
yob,yob/compass,2024-10-22T12:49:24Z,0,0,,True,False,GNU General Public License v3.0
pento,pento/discourse-unit-converter,2024-10-22T02:20:26Z,0,0,JavaScript,True,False,MIT License
tabs-not-spaces,tabs-not-spaces/Adafruit_nRF52_Bootloader,2024-10-21T09:19:24Z,0,0,,True,False,MIT License
lox,lox/bk-skip-unchanged-files,2024-10-21T01:13:33Z,0,0,Go,True,True,
